hsn8,description,category,aliases
17041000,ANKIT CHOCO LAYER RS5,Food & Beverages,
19051000,WINKIES RICH BUTTER FRUIT CAKE 275 GM RS 100,Food & Beverages,
19051000,PLUM CAKE BAKEMILL 500 GM RS120,Food & Beverages,
21061000,NALLAH PAKKAVADA 140GM,Food & Beverages,
19051000,UNIBIC DOOSRA JEERA COOKIES 150G,Food & Beverages,
19051000,ORKID PUDDING CAKE 400G,Food & Beverages,
19052000,UNIBIC FRUIT AND NUT COOKIES 75G,Food & Beverages,
19051000,CALCHEESE WAFER,Food & Beverages,
19051000,ELITE SOOJI ELAICHI RUSK 225 GM RS25,Food & Beverages,
19051000,ELITE MILK RUSK 290 GM,Food & Beverages,
19051000,PLUM CAKE 800 GM RICH,Food & Beverages,
19051000,ELITE BANANA CUP CAKE 170 GM,Food & Beverages,
19051000,UNIBIC HONEY OATMETAL COOKIES RS 25,Food & Beverages,
32041962,ORANGE SWEETS,chapter_32,
17041000,SNICKERS BAR 30 GM RS18,Food & Beverages,
19051000,IRIS ORANGE CHOCO BUTTER CAKE 140G,Food & Beverages,
17041000,DARLING CHOCO MILK BAR RS5,Food & Beverages,
12121010,CENTER FRESH RS5,chapter_12,
17041000,MONTE ESS BOSS CHOCOLATE RS 5,Food & Beverages,
19051000,IRIS ORANGE BURST CAKE 140G,Food & Beverages,
19059010,ORKID TEA TIME SLICED CAKES 150GM,Food & Beverages,
10061010,FF SWEET ARIURUNDAI RS 40,Agricultural Products,
19051000,PARLE HAPPY HAPPY CAKE 50G,Food & Beverages,
20089100,FINETI HEARTS RS5,chapter_20,
17041000,WHITE DALLAS MILK BAR RS5,Food & Beverages,
21061000,AJWA ONION MURUKKU 150GM,Food & Beverages,
19051000,PARLE MILANO MINIS 100 GM RS50,Food & Beverages,
17049030,BALCK AND WHITE CHOCO RS5,Food & Beverages,
04031000,FINETI DIPS COCOA RS30,chapter_04,
19051000,IRIS PINEAPPLE FIEST CAKE 140G,Food & Beverages,
17049030,SILKY AND SILKY BAR RS 5,Food & Beverages,
21061000,AJWA PEPPER SEV 150GM,Food & Beverages,
07104000,CUCUU SWEET RS 5,chapter_07,
19051000,IRIS VANILA WONDER CAKE 140G,Food & Beverages,
04051000,MICKS BUTTER NUTTS RS 5,chapter_04,
19052000,PARLE MONACO CREAM BISCUITS RS30,Food & Beverages,
19051000,PARLE WAFER RS5,Food & Beverages,
19051000,MODERN CAKE VANILA 80G,Food & Beverages,
19051000,MODERN PREMIUM RUSK 200GM,Food & Beverages,
19051000,MODERN WHOLE WHEAT RUSK 70G,Food & Beverages,
