hsn_code,description,source
0101,"LIVE HORSES, ASSES, MULES AND HINNIES",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010121,PURE-BRED BREEDING ANIMALS,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01012100,PURE-BRED BREEDING ANIMALS,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010129,other,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01012910,Horses for polo,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01012990,other,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010130,Asses,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01013010,Pure-bred breeding animals,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01013020,livestock,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01013090,other,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010190,Other,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01019030,Mules and hinnies as livestock,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01019090,OTHER,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
0102,LIVE BOVINE ANIMALS,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS ADULT,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010221,Pure-bred breeding animals,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01022110,Bulls,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01022120,Cows,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010229,Other,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01022910,Bulls,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01022990,"OTHER, INCLUDING CALVES",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010231,PURE-BRED BREEDING ANIMALS,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01023100,Pure-bred breeding animals,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010239,OTHER,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01023900,OTHER,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010290,Other,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01029010,PURE-BRED BREEDING ANIMALS,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",data\training\raw\HSN_SAC.xlsx:HSN_MSTR
01029090,OTHER,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
0103,LIVE SWINE,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
010310,PURE-BRED BREEDING ANIMALS,data\training\raw\HSN_SAC.xlsx:HSN_MSTR
