hsn8,description,category,rate,aliases,source
01011010,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMALS HORSES",chapter_01,,,gst_official_hsn_mstr
01011020,"LIVE HORSES, ASSES, MULESANDHINNIES PURE-BRED BREEDING ANIMALS ASSES",chapter_01,,,gst_official_hsn_mstr
01011090,"LIVE HORSES, ASSES, MULES AND HINNIES PURE-BRED BREEDING ANIMAL S OTHER",chapter_01,,,gst_official_hsn_mstr
01012100,PURE-BRED BREEDING ANIMALS,chapter_01,,,gst_official_hsn_mstr
01012910,Horses for polo,chapter_01,,,gst_official_hsn_mstr
01012990,other,chapter_01,,,gst_official_hsn_mstr
01013010,Pure-bred breeding animals,chapter_01,,,gst_official_hsn_mstr
01013020,livestock,chapter_01,,,gst_official_hsn_mstr
01013090,other,chapter_01,,,gst_official_hsn_mstr
01019010,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - HORSES FOR POLO",chapter_01,,,gst_official_hsn_mstr
01019020,"LIVE HORSES, ASSES, MULES AND HINNIES - OTHER - ASSES, MULES AND HINNIES AS LIVE STOCK",chapter_01,,,gst_official_hsn_mstr
01019030,Mules and hinnies as livestock,chapter_01,,,gst_official_hsn_mstr
01019090,OTHER,chapter_01,,,gst_official_hsn_mstr
01021010,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS : ADULT,chapter_01,,,gst_official_hsn_mstr
01021020,"LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS COWS, ADULT",chapter_01,,,gst_official_hsn_mstr
01021030,"LIVE BOVINE ANIMALS- BULLS - PURE-BRED BREEDING ANIMALS BUFFALOES, ADULT AND CALVES",chapter_01,,,gst_official_hsn_mstr
01021090,LIVE BOVINE ANIMALS - BULLS - PURE-BRED BREEDING ANIMALS OTHER,chapter_01,,,gst_official_hsn_mstr
01022110,Bulls,chapter_01,,,gst_official_hsn_mstr
01022120,Cows,chapter_01,,,gst_official_hsn_mstr
01022910,Bulls,chapter_01,,,gst_official_hsn_mstr
01022990,"OTHER, INCLUDING CALVES",chapter_01,,,gst_official_hsn_mstr
01023100,Pure-bred breeding animals,chapter_01,,,gst_official_hsn_mstr
01023900,OTHER,chapter_01,,,gst_official_hsn_mstr
01029010,PURE-BRED BREEDING ANIMALS,chapter_01,,,gst_official_hsn_mstr
01029020,"LIVE BOVINE ANIMALS - OTHER - BUFFALOES, ADULT AND CALVES",chapter_01,,,gst_official_hsn_mstr
01029090,OTHER,chapter_01,,,gst_official_hsn_mstr
01031000,PURE-BRED BREEDING ANIMALS,chapter_01,,,gst_official_hsn_mstr
01039100,WEIGHING LESS THAN 50KG,chapter_01,,,gst_official_hsn_mstr
01039200,WEIGHING 50KG OR MORE,chapter_01,,,gst_official_hsn_mstr
01041010,SHEEP INCLUDING LAMB FOR BREEDING PURPOSE,chapter_01,,,gst_official_hsn_mstr
01041090,OTHER,chapter_01,,,gst_official_hsn_mstr
01042000,GOATS,chapter_01,,,gst_official_hsn_mstr
01051100,FOWLS OF THE SPECIES GALLUS DOMESTICUS,chapter_01,,,gst_official_hsn_mstr
01051200,TURKEYS,chapter_01,,,gst_official_hsn_mstr
01051300,Ducks,chapter_01,,,gst_official_hsn_mstr
01051400,Geese,chapter_01,,,gst_official_hsn_mstr
01051500,Guinea fowls,chapter_01,,,gst_official_hsn_mstr
01051900,"SPECIES GALLU SDOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING NOT MORE THAN 185G : OTHER",chapter_01,,,gst_official_hsn_mstr
01059200,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUS DOMESTICUS WEIGHING NOT MORE THAN 2000G",chapter_01,,,gst_official_hsn_mstr
01059300,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEAFOWLS - OTHER - FOWLS OF THE SPECIES GALLUSDOMESTICUS WEIGHING MORE THAN 2000G,",chapter_01,,,gst_official_hsn_mstr
01059400,FOWLS OF THE SPECIES GALLUS DOMESTICUS,chapter_01,,,gst_official_hsn_mstr
01059900,OTHER,chapter_01,,,gst_official_hsn_mstr
01061100,PRIMATES,chapter_01,,,gst_official_hsn_mstr
01061200,"WHALES, DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA), MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA), SEALS, SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)",chapter_01,,,gst_official_hsn_mstr
01061300,Camels and other camelids (Camelidae),chapter_01,,,gst_official_hsn_mstr
01061400,RABBITS AND HARES,chapter_01,,,gst_official_hsn_mstr
01061900,OTHER,chapter_01,,,gst_official_hsn_mstr
01062000,REPTILES (INCLUDING SNAKES AND TURTLES),chapter_01,,,gst_official_hsn_mstr
01063100,BIRDS OF PREY,chapter_01,,,gst_official_hsn_mstr
01063200,"PSITTACIFORMES INCL. PARROTS, PARRAKEETS, MACAWS AND COCKATOOS",chapter_01,,,gst_official_hsn_mstr
01063300,"OSTRICHES, EMUS (DROMAIUS NOVAEHOLLANDIAE)",chapter_01,,,gst_official_hsn_mstr
01063900,OTHER,chapter_01,,,gst_official_hsn_mstr
01064110,Pureline stock,chapter_01,,,gst_official_hsn_mstr
01064190,other,chapter_01,,,gst_official_hsn_mstr
01064910,Pureline Stock,chapter_01,,,gst_official_hsn_mstr
01064990,Other,chapter_01,,,gst_official_hsn_mstr
01069000,Other,chapter_01,,,gst_official_hsn_mstr
